MonitoringLocationIdentifier,lat,lon
21OHIO_WQX-203928,39.269303,-82.409882
21OHIO_WQX-303635,40.4819,-81.2542
21OHIO_WQX-W03W09,39.2379,-82.4321
21OHIO_WQX-S02P08,41.4914,-83.2216
21OHIO_WQX-500150,40.99,-84.2267
21OHIO_WQX-600960,39.6014,-82.9553
21OHIO_WQX-W03S47,39.0147,-82.3361
21OHIO_WQX-K01G12,41.045512,-82.657991
21OHIO_WQX-V10P06,39.32,-82.9789
21OHIO_WQX-J02S15,39.3308,-82.0875
21OHIO_WQX-302836,41.356256,-84.050397
21OHIO_WQX-501030,41.3017,-82.6069
21OHIO_WQX-W03K17,39.3969,-82.375
21OHIO_WQX-303618,40.4099,-81.1529
21OHIO_WQX-302837,41.185469,-84.495392
21OHIO_WQX-203929,38.7592,-82.305
21OHIO_WQX-K01P06,41.0211,-82.6667
